Date,Dow,IBM,PFE,VZ,V,MCD,WMT,NKE,AAPL,PG,MSFT,MRK,KO,BA,UTX,HD,CVX,DIS,JNJ,XOM,GS,AXP,TRV,JPM,INTC,CSCO,UNH,MMM,CAT,WBA
9/1/2014,17042.90039,189.830002,29.57,49.990002,53.342499,94.809998,76.470001,44.599998,100.75,83.739998,46.360001,59.279999,42.66,127.379997,105.599998,91.739998,119.32,89.029999,106.589996,94.050003,183.570007,87.540001,93.940002,60.240002,34.82,25.17,86.25,141.679993,99.029999,59.27
10/1/2014,17390.51953,164.399994,29.950001,50.25,60.357498,93.730003,76.269997,46.485001,108,87.269997,46.950001,57.939999,41.880001,124.910004,107,97.519997,119.949997,91.379997,107.779999,96.709999,189.990005,89.949997,100.800003,60.48,34.009998,24.469999,95.010002,153.770004,101.410004,64.220001
11/1/2014,17828.24023,162.169998,31.15,50.59,64.547501,96.809998,87.540001,49.645,118.93,90.43,47.810001,60.400002,44.830002,134.360001,110.080002,99.400002,108.870003,92.510002,108.25,90.540001,188.410004,92.419998,104.449997,60.16,37.25,27.639999,98.629997,160.089996,100.599998,68.610001
12/1/2014,17823.07031,160.440002,31.15,46.779999,65.550003,93.699997,85.879997,48.075001,110.379997,91.089996,46.450001,56.790001,42.220001,129.979996,115,104.970001,112.18,94.190002,104.57,92.449997,193.830002,93.040001,105.849998,62.580002,36.290001,27.82,101.089996,164.320007,91.529999,76.199997
1/1/2015,17164.94922,153.309998,31.25,45.709999,63.727501,92.440002,84.980003,46.125,117.160004,84.290001,40.400002,60.279999,41.169998,145.369995,114.779999,104.419998,102.529999,90.959999,100.139999,87.419998,172.410004,80.690002,102.82,54.380001,33.040001,26.370001,106.25,162.300003,79.970001,73.75
2/1/2015,18132.69922,161.940002,34.32,49.450001,67.827499,98.900002,83.93,48.560001,128.460007,85.129997,43.849998,58.540001,43.299999,150.850006,121.910004,114.75,106.68,104.080002,102.510002,88.540001,189.789993,81.589996,107.440002,61.279999,33.25,29.51,113.629997,168.649994,82.900002,83.080002
3/1/2015,17776.11914,160.5,34.790001,48.630001,65.410004,97.440002,82.25,50.165001,124.43,81.940002,40.66,57.48,40.549999,150.080002,117.199997,113.610001,104.980003,104.889999,100.599998,85,187.970001,78.120003,108.129997,60.580002,31.27,27.530001,118.290001,164.949997,80.029999,84.68
4/1/2015,17840.51953,171.289993,33.93,50.439999,66.050003,96.550003,78.050003,49.419998,125.150002,79.510002,48.639999,59.560001,40.560001,143.339996,113.75,106.980003,111.059998,108.720001,99.199997,87.370003,196.419998,77.449997,101.110001,63.259998,32.549999,28.83,111.400002,156.389999,86.879997,82.93
5/1/2015,18010.67969,169.649994,34.75,49.439999,68.68,95.93,74.269997,50.834999,130.279999,78.389999,46.860001,60.889999,40.959999,140.520004,117.169998,111.419998,103,110.370003,100.139999,85.199997,206.190002,79.720001,101.120003,65.779999,34.459999,29.309999,120.209999,159.080002,85.32,85.839996
6/1/2015,17619.50977,162.660004,33.529999,46.610001,67.150002,95.07,70.93,54.009998,125.43,78.239998,44.150002,56.93,39.23,138.720001,110.93,111.129997,96.470001,114.139999,97.459999,83.199997,208.789993,77.720001,96.660004,67.760002,30.42,27.459999,122,154.300003,84.82,84.440002
